Date/Time;LV ActivePower (kW);Wind Speed (m/s);Theoretical_Power_Curve (KWh);Wind Direction (°)
01 01 2018 04:10;1724.48803710937;8.37616157531738;1752.19966204818;252.41259765625
01 01 2018 04:20;1636.93505859375;8.23695755004882;1668.47070685152;247.979400634765
01 01 2018 04:30;1385.48803710937;7.87959098815917;1461.81579081391;238.609603881835
01 01 2018 04:40;1098.93200683593;7.10137605667114;1062.28503444311;245.095596313476
01 01 2018 04:50;1021.4580078125;6.95530700683593;995.995854606612;245.410202026367
01 01 2018 05:00;1164.89294433593;7.09829807281494;1060.85971215544;235.227905273437
01 01 2018 05:10;1073.33203125;6.95363092422485;995.250960801046;242.872695922851
01 01 2018 05:20;1165.30798339843;7.24957799911499;1132.4168612641;244.835693359375
01 01 2018 05:30;1177.98999023437;7.29469108581542;1154.36530469206;242.48159790039
01 01 2018 05:40;1170.53601074218;7.37636995315551;1194.8430985043;247.97720336914
01 01 2018 05:50;1145.53601074218;7.44855403900146;1231.43070603717;249.682998657226
01 01 2018 06:00;1114.02697753906;7.2392520904541;1127.43320551345;248.401000976562
01 01 2018 06:10;1153.18505859375;7.32921123504638;1171.35504358957;244.621704101562
01 01 2018 06:20;1125.3310546875;7.13970518112182;1080.13908466205;244.631805419921
01 01 2018 06:30;1228.73205566406;7.47422885894775;1244.63353439737;245.785995483398
01 01 2018 06:40;1021.79302978515;7.03317403793334;1030.99268581181;248.652206420898
01 01 2018 06:50;957.378173828125;6.88645505905151;965.683334443832;244.611694335937
01 01 2018 07:00;909.887817382812;6.88782119750976;966.279104864065;235.84829711914
01 01 2018 07:10;1000.95397949218;7.21643209457397;1116.4718990154;232.842697143554
01 01 2018 07:20;1024.47802734375;7.0685977935791;1047.17023059277;229.933197021484
01 01 2018 07:30;1009.53399658203;6.93829584121704;988.451940715539;230.13670349121
01 01 2018 07:40;899.492980957031;6.53668785095214;820.416658585943;234.933807373046
01 01 2018 07:50;725.110107421875;6.18062496185302;686.636942163399;232.837905883789
01 01 2018 08:00;585.259399414062;5.81682586669921;564.927659543473;240.328796386718
01 01 2018 08:10;443.913909912109;5.45015096664428;454.773587146918;238.12629699707
01 01 2018 08:20;565.253784179687;5.81814908981323;565.349093224668;235.80029296875
01 01 2018 08:30;644.037780761718;6.13027286529541;668.823569309414;224.958694458007
01 01 2018 08:40;712.058898925781;6.34707784652709;747.460673422601;216.803894042968
01 01 2018 08:50;737.394775390625;6.34743690490722;747.595109122642;205.785293579101
01 01 2018 09:00;725.868103027343;6.19436883926391;691.546334303948;199.848495483398
01 01 2018 09:10;408.997406005859;4.97719812393188;330.417630427964;207.997802734375
01 01 2018 09:20;628.436828613281;5.95911121368408;611.283836510667;210.954895019531
01 01 2018 09:30;716.1005859375;6.21137619018554;697.649474372052;215.69400024414
01 01 2018 09:40;711.49560546875;6.11145305633544;662.235163012206;220.84260559082
01 01 2018 09:50;838.151916503906;6.45632219314575;789.011422412419;237.065307617187
01 01 2018 10:00;881.062072753906;6.66665792465209;872.739625855708;235.667495727539
01 01 2018 10:10;663.703125;6.16287899017333;680.327891653483;229.329696655273
01 01 2018 10:20;578.261596679687;6.01316785812377;628.442560754699;234.900604248046
01 01 2018 10:30;465.620086669921;5.56120300292968;486.779567601972;230.422805786132
01 01 2018 10:40;311.050903320312;4.96073198318481;326.411025380213;229.537506103515
01 01 2018 10:50;230.05549621582;4.60387516021728;244.31624421611;231.79849243164
01 01 2018 11:00;233.990600585937;4.55453395843505;233.632780531927;234.105606079101
01 01 2018 11:10;175.592193603515;4.26362895965576;173.573663122312;228.776702880859
01 01 2018 11:20;118.133102416992;3.89413905143737;108.571221110423;227.938995361328
01 01 2018 11:30;142.202499389648;4.03876113891601;130.229989593698;224.46499633789
01 01 2018 11:40;212.566192626953;4.50565099716186;223.196784083793;224.950500488281
01 01 2018 11:50;222.610000610351;4.54339790344238;231.242507343633;229.12759399414
01 01 2018 12:00;194.181198120117;4.32376098632812;185.598479588255;227.039993286132
01 01 2018 12:10;82.6407470703125;3.63443708419799;68.5028197987886;230.31460571289
01 01 2018 12:20;75.8952178955078;3.70551204681396;78.3961653540173;233.953292846679
01 01 2018 12:30;41.9472389221191;3.25396800041198;29.2869556318446;233.06590270996
01 01 2018 12:40;118.534599304199;3.77513694763183;88.8713653309387;227.753494262695
01 01 2018 12:50;250.755905151367;4.69350099563598;264.119257409418;229.896606445312
01 01 2018 13:00;346.86441040039;5.00293922424316;336.721998240131;235.279495239257
01 01 2018 13:10;416.417907714843;5.36474990844726;430.92108895689;235.585296630859
01 01 2018 13:20;331.941497802734;5.01618194580078;339.984940156412;229.942901611328
01 01 2018 13:30;583.479919433593;5.97040796279907;615.05563084927;235.69529724121
01 01 2018 13:40;776.552673339843;6.6555209159851;868.180844867276;241.457397460937
01 01 2018 13:50;752.726379394531;6.60090398788452;846.029409522117;242.782104492187
01 01 2018 14:00;589.073120117187;5.98137807846069;618.731442665699;234.984405517578
01 01 2018 14:10;1109.12805175781;7.42459392547607;1219.19978672882;235.14729309082
01 01 2018 14:20;1482.4599609375;8.18645191192626;1638.50890923271;238.479095458984
01 01 2018 14:30;1523.43005371093;8.27493000030517;1691.1470390233;237.033203125
01 01 2018 14:40;1572.17004394531;8.44920253753662;1796.76309010091;238.332397460937
01 01 2018 14:50;1698.93994140625;8.5759744644165;1875.04719734159;235.641403198242
01 01 2018 15:00;1616.84594726562;8.28225994110107;1695.53877696245;236.461395263671
01 01 2018 15:10;1796.82397460937;8.73455238342285;1974.47580025242;234.354797363281
01 01 2018 15:20;1885.86096191406;8.76410388946533;1993.17071186444;231.001602172851
01 01 2018 15:30;2327.51196289062;9.66943168640136;2568.82712862015;227.60009765625
01 01 2018 15:40;2499.162109375;10.1410903930664;2876.75361614448;227.73159790039
01 01 2018 15:50;2820.51293945312;10.7724199295043;3186.02988321436;225.276397705078
01 01 2018 16:00;2812.27905273437;10.6475200653076;3133.25922420184;224.680603027343
01 01 2018 16:10;2530.44702148437;9.98266124725341;2781.27404078649;225.519500732421
01 01 2018 16:20;2399.12109375;9.87438583374023;2711.49245838958;227.273803710937
01 01 2018 16:30;2335.587890625;9.78547954559326;2651.34100928894;229.255493164062
01 01 2018 16:40;2341.13305664062;9.61423206329345;2527.94545109623;230.736892700195
01 01 2018 16:50;2391.84790039062;9.61850452423095;2531.14793986697;229.490798950195
01 01 2018 17:00;2118.38989257812;9.09868335723876;2207.79281988587;223.960906982421
01 01 2018 17:10;1866.84594726562;8.67742538452148;1938.47860120954;219.793701171875
01 01 2018 17:20;1865.61901855468;8.77489852905273;2000.01171622122;219.04490661621
01 01 2018 17:30;1862.44799804687;8.68998146057128;1946.37395530494;215.335205078125
01 01 2018 17:40;1884.11901855468;8.63107395172119;1909.41625571088;216.279998779296
01 01 2018 17:50;1855.77697753906;8.61456966400146;1899.10073381649;214.529098510742
01 01 2018 18:00;1958.13305664062;9.218843460083;2285.9170315439;212.179901123046
01 01 2018 18:10;2228.24291992187;10.0495195388793;2822.50948979838;210.30859375
01 01 2018 18:20;2529.291015625;10.3187103271484;2974.86679599312;210.588104248046
01 01 2018 18:30;2788.25708007812;10.7667598724365;3183.72245968391;207.481399536132
01 01 2018 18:40;2692.92993164062;10.558250427246;3093.1106721875;208.551895141601
01 01 2018 18:50;2535.35302734375;10.2507200241088;2938.39460689531;208.010696411132
01 01 2018 19:00;2584.6650390625;10.4647703170776;3048.82383278559;205.752899169921
01 01 2018 19:10;2960.18310546875;11.3907804489135;3393.64554116411;200.654296875
01 01 2018 19:20;3062.97802734375;11.5655403137207;3437.59713457272;198.124298095703
01 01 2018 19:30;3024.39208984375;11.280249595642;3362.66874184888;198.538192749023
01 01 2018 19:40;3187.97290039062;11.3367795944213;3378.82627083958;200.490402221679
01 01 2018 19:50;3387.22802734375;11.8046398162841;3488.24849124087;199.24690246582
01 01 2018 20:00;3209.01806640625;11.3635396957397;3386.24448582472;199.80549621582
01 01 2018 20:10;3272.6650390625;11.6325902938842;3452.88110782365;198.267700195312
01 01 2018 20:20;3209.69897460937;11.4447603225708;3407.86787605817;195.632003784179
01 01 2018 20:30;3134.51806640625;11.2719001770019;3360.22577475203;196.661102294921
01 01 2018 20:40;2977.82495117187;11.0590095520019;3292.88092490873;196.515899658203
01 01 2018 20:50;3431.77294921875;12.1037797927856;3537.17370631569;198.257003784179
01 01 2018 21:00;3604.2099609375;12.9281396865844;3597.46946747004;201.582595825195
01 01 2018 21:10;3601.32788085937;13.3194198608398;3600;201.942199707031
01 01 2018 21:20;3604.42602539062;13.1215200424194;3600;203.50779724121
01 01 2018 21:30;3604.39111328125;13.2354497909545;3600;202.692993164062
01 01 2018 21:40;3604.337890625;13.2358999252319;3600;202.936294555664
01 01 2018 21:50;3554.68798828125;13.0295600891113;3600;201.25390625
01 01 2018 22:00;3479.40795898437;12.963939666748;3597.79463518254;201.340896606445
01 01 2018 22:10;3472.3330078125;12.9029502868652;3597.13105990188;200.979507446289
01 01 2018 22:20;3491.51098632812;12.7663402557373;3593.70494203457;200.996002197265
01 01 2018 22:30;3536.98901367187;12.8983497619628;3597.0594486071;200.514205932617
01 01 2018 22:40;3528.65893554687;12.7421102523803;3592.81431300069;202.895294189453
01 01 2018 22:50;3581.5400390625;12.318260192871;3562.99009479352;202.841094970703
01 01 2018 23:00;3570.0791015625;12.418809890747;3572.55614292551;202.411804199218
01 01 2018 23:10;3597.60400390625;12.5429897308349;3582.20464281071;201.625305175781
01 01 2018 23:20;3441.02587890625;12.6759996414184;3589.94563404896;199.32209777832
01 01 2018 23:30;3373.96997070312;13.0030498504638;3600;197.130706787109
01 01 2018 23:40;3369.81298828125;13.2976703643798;3600;196.493606567382
01 01 2018 23:50;3375.90307617187;12.8440599441528;3595.98479162144;195.315002441406
02 01 2018 00:00;3377.64990234375;12.7053899765014;3591.30046108295;196.042205810546
02 01 2018 00:10;3374.42309570312;12.1833600997924;3547.62765509484;197.743896484375
02 01 2018 00:20;3401.0810546875;12.2051401138305;3550.30722235787;196.808807373046
02 01 2018 00:30;3469.412109375;12.6018800735473;3585.95918141078;193.815704345703
02 01 2018 00:40;3511.80908203125;12.8445501327514;3595.9963935586;194.346603393554
02 01 2018 00:50;3536.75903320312;12.4970598220825;3578.91155469034;196.009201049804
02 01 2018 01:00;3467.80810546875;12.0960702896118;3536.10513948266;197.952697753906
02 01 2018 01:10;3460.67700195312;12.1961202621459;3549.20691711024;201.330307006835
02 01 2018 01:20;3589.44311523437;12.5503501892089;3582.70255395235;201.188201904296
02 01 2018 01:30;3527.71899414062;12.6156702041625;3586.76296687567;202.623596191406
02 01 2018 01:40;3561.26708984375;13.102780342102;3600;201.7666015625
02 01 2018 01:50;3604.06811523437;13.6877498626708;3600;199.019500732421
02 01 2018 02:00;3604.17602539062;14.1024198532104;3600;196.25520324707
02 01 2018 02:10;3593.20092773437;14.3933095932006;3600;195.879898071289
02 01 2018 02:20;3493.82104492187;14.0795497894287;3600;197.640304565429
02 01 2018 02:30;3470.70190429687;14.0544004440307;3600;197.244796752929
02 01 2018 02:40;3436.61010742187;13.5124702453613;3600;195.995407104492
02 01 2018 02:50;3401.455078125;13.7100496292114;3600;192.419799804687
02 01 2018 03:00;3395.23291015625;13.7423295974731;3600;191.013702392578
02 01 2018 03:10;3417.50390625;13.1418600082397;3600;192.204696655273
02 01 2018 03:20;3465.10888671875;12.8677101135253;3596.50506006828;192.771697998046
02 01 2018 03:30;3467.41796875;12.8472700119018;3596.06013842223;192.470504760742
02 01 2018 03:40;3522.40698242187;12.7321100234985;3592.42166638681;192.567901611328
02 01 2018 03:50;3510.10791015625;12.5162000656127;3580.32294087044;194.999206542968
02 01 2018 04:00;3513.84497070312;12.5986604690551;3585.76741417889;196.042297363281
02 01 2018 04:10;3564.00805664062;13.2303199768066;3600;196.408798217773
02 01 2018 04:20;3475.27807617187;13.0946702957153;3600;198.524993896484
02 01 2018 04:30;3561.99096679687;12.9168796539306;3597.32940721254;198.010101318359
02 01 2018 04:40;3521.55493164062;12.6335496902465;3587.76274105689;197.663497924804
02 01 2018 04:50;3493.60791015625;12.8256702423095;3595.52445712704;201.104095458984
02 01 2018 05:00;3555.30493164062;12.5416202545166;3582.11109582746;200.363403320312
02 01 2018 05:10;3377.1279296875;12.1049699783325;3537.33778647827;196.982696533203
02 01 2018 05:20;3479.626953125;12.3625001907348;3567.3947065774;199.798995971679
02 01 2018 05:30;3539.11206054687;12.6039104461669;3586.07931541404;201.270294189453
02 01 2018 05:40;3430.43603515625;12.2122201919555;3551.16161586499;198.984603881835
